POSITION,PARKRUNNER,GENDER,AGE GROUP,CLUB,TIME
53,Anon RUNNER,Male,SM30-34,Running Club,00:24:14
54,Anon RUNNER,Male,VM50-54,Running Club,00:24:15
55,Anon RUNNER,Male,VM35-39,Running Club,00:24:17
56,Anon RUNNER,Male,VM55-59,Running Club,00:24:20
57,Anon RUNNER,Female,VW50-54,Running Club,00:24:23
58,Anon RUNNER,Male,VM45-49,Running Club,00:24:26
59,Anon RUNNER,Male,VM50-54,Running Club,00:24:37
60,Anon RUNNER,Male,VM50-54,Running Club,00:24:52
61,Anon RUNNER,Male,VM40-44,Running Club,00:24:56
62,Anon RUNNER,Female,VW40-44,Running Club,00:24:57
63,Anon RUNNER,Male,SM25-29,Running Club,00:24:58
64,Anon RUNNER,Male,VM35-39,Running Club,00:25:00
65,Anon RUNNER,Female,VW50-54,Running Club,00:25:10
66,Anon RUNNER,Male,VM35-39,Running Club,00:25:18
67,Anon RUNNER,Female,VW40-44,Running Club,00:25:19
68,Anon RUNNER,Male,SM25-29,Running Club,00:25:25
69,Anon RUNNER,Male,SM20-24,Running Club,00:25:27
70,Anon RUNNER,Female,VW40-44,Running Club,00:25:31
71,Anon RUNNER,Male,SM30-34,Running Club,00:25:32
72,Anon RUNNER,Male,VM55-59,Running Club,00:25:34
73,Anon RUNNER,Male,VM45-49,Running Club,00:25:35
74,Anon RUNNER,Female,JW11-14,Running Club,00:25:38
75,Anon RUNNER,Female,VW55-59,Running Club,00:25:40
76,Anon RUNNER,Female,VW50-54,Running Club,00:25:50
77,Anon RUNNER,Male,VM65-69,Running Club,00:25:52
78,Anon RUNNER,Male,VM50-54,Running Club,00:25:58
79,Anon RUNNER,Male,VM60-64,Running Club,00:26:02
80,Anon RUNNER,Male,VM40-44,Running Club,00:26:04
81,Anon RUNNER,Male,VM40-44,Running Club,00:26:06
82,Anon RUNNER,Male,VM50-54,Running Club,00:26:07
83,Anon RUNNER,Male,VM55-59,Running Club,00:26:08
84,Anon RUNNER,,,Running Club,
85,Anon RUNNER,Male,VM45-49,Running Club,00:26:12
86,Anon RUNNER,Male,VM70-74,Running Club,00:26:13
87,Anon RUNNER,Male,SM30-34,Running Club,00:26:13
